OBJECTID,ID_NOM,ID_TAXON,ID_ARBRE,CLASSE,NOM_LATIN,NOM_COM_GE,NOM_COMMUN,NOM_COM_RE,DIAM_1M,DIAM_COURO,HAUTEUR_TO,REMARQUABL,CHAMPION,INT_PHENO,STATUT,ADR_URL,COMMUNE,NO_POSTAL,CIRCONFERENCE,DATE_OBSERVATION,E,N
82285,13998,37435,170342,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Genève-Eaux-Vives,1208,,19760606.0,2501846.28,1117179.95
79642,13998,37435,117046,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Veyrier,1255,,19760606.0,2503186.48,1113808.49
79832,13998,37435,119495,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Jussy,1254,,19760606.0,2511156.97,1120033.03
85531,13998,37435,107921,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Chêne-Bourg,1225,,19760606.0,2504171.31,1116425.96
85988,13998,37435,117847,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Collonge-Bellerive,1222,,19760606.0,2504604.76,1121303.16
84789,13998,37435,159066,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Genève-Eaux-Vives,1207,,19760606.0,2502097.41,1118416.14
85670,13998,37435,106650,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Collonge-Bellerive,1245,,19760606.0,2504703.89,1123821.55
84640,13998,37435,137992,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Chêne-Bougeries,1231,,19760606.0,2502176.47,1115751.35
83462,13998,37435,117291,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Collonge-Bellerive,1245,,19760606.0,2504694.03,1123823.27
84074,13998,37435,117782,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Cologny,1223,,19760606.0,2503899.29,1120549.01
